race,year,edition,first_age,second_age,third_age,first_weight,second_weight,third_weight
il-lombardia,1905,1,20.49,22.96,21.96,nan,nan,nan
il-lombardia,1906,2,21.54,24.22,22.96,nan,nan,nan
il-lombardia,1907,3,23.12,22.06,23.94,nan,nan,nan
il-lombardia,1908,4,21.8,24.95,23.48,nan,nan,nan
il-lombardia,1909,5,25.8,26.18,28.38,nan,nan,nan
il-lombardia,1910,6,21.8,26.95,21.15,nan,nan,nan
il-lombardia,1911,7,22.79,22.79,27.9,nan,nan,nan
il-lombardia,1912,8,23.99,20.62,29.76,nan,nan,nan
il-lombardia,1913,9,24.79,30.78,26.81,nan,nan,nan
il-lombardia,1914,10,24.32,23.6,19.59,nan,nan,nan
il-lombardia,1915,11,23.21,23.96,28.17,nan,nan,nan
il-lombardia,1916,12,23.77,30.68,25.85,nan,nan,nan
il-lombardia,1917,13,27.09,28.8,24.77,nan,nan,nan
il-lombardia,1918,14,26.22,27.87,36.23,nan,nan,nan
il-lombardia,1919,15,26.64,27.2,20.33,nan,nan,nan
il-lombardia,1920,16,31.82,25.12,28.22,nan,nan,nan
il-lombardia,1921,17,28.67,29.22,25.33,nan,nan,nan
il-lombardia,1922,18,29.66,31.64,33.14,nan,nan,nan
il-lombardia,1923,19,28.08,27.05,27.3,nan,nan,nan
il-lombardia,1924,20,29.12,31.67,28.08,nan,nan,nan
il-lombardia,1925,21,23.25,25.46,26.52,nan,nan,nan
il-lombardia,1926,22,24.24,23.77,27.5,nan,nan,nan
il-lombardia,1927,23,25.24,26.17,24.77,nan,nan,nan
il-lombardia,1928,24,36.21,21.81,23.36,nan,nan,nan
il-lombardia,1929,25,24.34,33.8,21.4,nan,nan,nan
il-lombardia,1930,26,27.08,28.23,28.05,nan,nan,nan
il-lombardia,1931,27,29.22,28.08,22.73,nan,nan,72
il-lombardia,1932,28,29.76,29.8,23.36,nan,nan,nan
il-lombardia,1933,29,30.78,26.58,21.96,nan,nan,nan
il-lombardia,1934,30,32.04,25.42,31.8,nan,nan,nan
il-lombardia,1935,31,22.25,20.24,21.27,nan,nan,nan
il-lombardia,1936,32,22.33,22.72,29.65,nan,nan,nan
il-lombardia,1937,33,22.25,23.28,24.09,nan,nan,nan
il-lombardia,1938,34,22.72,24.28,26.13,nan,nan,nan
il-lombardia,1939,35,25.28,22.79,24.99,nan,nan,nan
il-lombardia,1940,36,26.3,28.14,24.73,nan,nan,nan
il-lombardia,1941,37,27.2,25.71,30.75,nan,nan,nan
il-lombardia,1942,38,27.24,28.27,25.83,nan,nan,nan
il-lombardia,1945,39,31.21,30.25,31.28,nan,nan,nan
il-lombardia,1946,40,27.13,25.31,25.14,72,nan,nan
il-lombardia,1947,41,28.13,33.3,22.33,72,nan,nan
il-lombardia,1948,42,29.13,31.8,22.63,72,nan,nan
il-lombardia,1949,43,30.13,30.27,26.27,72,nan,nan
il-lombardia,1950,44,25.49,32.02,31.12,nan,80,72
il-lombardia,1951,45,26.63,23.61,32.12,74,nan,72
il-lombardia,1952,46,24.62,20.61,25.38,nan,nan,nan
il-lombardia,1953,47,24.9,31.52,33.45,nan,72,nan
il-lombardia,1954,48,35.15,33.92,23.46,72,nan,nan
il-lombardia,1955,49,24.63,25.02,30.63,nan,68,nan
il-lombardia,1956,50,27.51,37.13,35.9,nan,72,nan
il-lombardia,1957,51,21.88,27.38,23.36,nan,nan,nan
il-lombardia,1958,52,26.6,30.61,25.06,nan,nan,nan
il-lombardia,1959,53,25.84,24.71,31.61,73,nan,nan
il-lombardia,1960,54,22.55,24.87,24.61,64,nan,nan
il-lombardia,1961,55,21.47,24.82,22.32,nan,nan,nan
il-lombardia,1962,56,25.31,25.42,23.7,nan,75,nan
il-lombardia,1963,57,26.31,23.25,21.46,nan,nan,nan
il-lombardia,1964,58,21.61,21.29,31.9,nan,nan,nan
il-lombardia,1965,59,27.9,23.77,33.43,69,74,nan
il-lombardia,1966,60,24.08,21.36,30.54,78,74,nan
il-lombardia,1967,61,27.15,25.08,31.54,nan,78,nan
il-lombardia,1968,62,25.18,28.13,23.34,nan,nan,74
il-lombardia,1969,63,21.1,26.18,29.13,nan,nan,nan
il-lombardia,1970,64,30.13,28.05,27.6,nan,78,nan
il-lombardia,1971,65,26.33,31.12,30.34,74,nan,nan
il-lombardia,1972,66,27.33,25.73,30.04,74,nan,78
il-lombardia,1973,67,31.06,26.16,30.19,78,74,nan
il-lombardia,1974,68,27.15,29.34,29.06,74,74,nan
il-lombardia,1975,69,24.33,30.56,26.27,79,nan,nan
il-lombardia,1976,70,29.15,28.77,31.37,74,nan,nan
il-lombardia,1977,71,24.1,22.37,37.13,72,nan,nan
il-lombardia,1978,72,27.32,25.49,23.91,79,71,62
il-lombardia,1979,73,24.93,21.76,28.25,62,nan,nan
