race,year,edition,first_age,second_age,third_age,first_weight,second_weight,third_weight
liege-bastogne-liege,1892,1,24.57,23.88,nan,nan,nan,nan
liege-bastogne-liege,1893,2,25.57,nan,nan,nan,nan,nan
liege-bastogne-liege,1894,3,26.82,nan,nan,nan,nan,nan
liege-bastogne-liege,1908,4,21.27,23.36,nan,nan,nan,nan
liege-bastogne-liege,1909,5,19.0,17.54,20.07,nan,nan,nan
liege-bastogne-liege,1911,6,21.5,nan,nan,nan,nan,nan
liege-bastogne-liege,1912,7,23.8,23.88,24.67,nan,nan,nan
liege-bastogne-liege,1913,8,nan,18.98,21.81,nan,nan,nan
liege-bastogne-liege,1919,9,23.71,31.06,31.84,nan,nan,nan
liege-bastogne-liege,1920,10,32.24,27.75,31.61,nan,nan,nan
liege-bastogne-liege,1921,11,31.89,nan,30.42,nan,nan,nan
liege-bastogne-liege,1922,12,32.78,20.13,25.84,nan,nan,nan
liege-bastogne-liege,1923,13,30.21,32.45,30.43,nan,nan,nan
liege-bastogne-liege,1924,14,31.4,24.26,26.85,nan,nan,nan
liege-bastogne-liege,1925,15,19.29,23.24,nan,nan,nan,nan
liege-bastogne-liege,1926,16,24.72,24.88,26.56,nan,nan,nan
liege-bastogne-liege,1927,17,20.24,nan,25.82,nan,nan,nan
liege-bastogne-liege,1928,18,26.16,21.33,nan,nan,nan,nan
liege-bastogne-liege,1929,19,21.72,26.22,22.32,nan,nan,nan
liege-bastogne-liege,1930,20,23.27,27.03,27.19,nan,nan,nan
liege-bastogne-liege,1931,21,23.72,28.04,24.69,nan,nan,nan
liege-bastogne-liege,1932,22,29.03,22.99,27.48,nan,nan,nan
liege-bastogne-liege,1933,23,30.18,nan,36.15,nan,nan,nan
liege-bastogne-liege,1934,24,22.82,21.05,24.19,nan,nan,nan
liege-bastogne-liege,1935,25,27.62,27.54,24.32,nan,nan,nan
liege-bastogne-liege,1936,26,25.9,23.62,25.65,nan,nan,nan
liege-bastogne-liege,1937,27,24.56,23.81,20.73,73,79,nan
liege-bastogne-liege,1938,28,27.96,23.65,31.19,nan,74,68
liege-bastogne-liege,1939,29,23.6,27.04,26.88,nan,75,65
liege-bastogne-liege,1943,30,28.18,20.36,23.41,nan,nan,61
liege-bastogne-liege,1945,31,23.34,27.47,35.52,nan,nan,nan
liege-bastogne-liege,1946,32,27.96,29.81,26.32,nan,70,nan
liege-bastogne-liege,1947,33,32.0,21.52,28.11,nan,69,nan
liege-bastogne-liege,1948,34,24.01,22.55,27.29,nan,69,nan
liege-bastogne-liege,1949,35,29.93,26.91,28.64,nan,nan,nan
liege-bastogne-liege,1950,36,31.93,25.27,32.11,nan,nan,nan
liege-bastogne-liege,1951,37,31.77,21.48,21.46,nan,70,nan
liege-bastogne-liege,1952,38,32.82,25.7,30.94,nan,nan,nan
liege-bastogne-liege,1953,39,25.75,30.91,33.55,nan,nan,nan
liege-bastogne-liege,1954,40,28.15,28.57,34.82,69,69,nan
liege-bastogne-liege,1955,41,35.26,29.55,24.82,61,69,nan
liege-bastogne-liege,1956,42,25.56,25.81,34.47,68,nan,nan
liege-bastogne-liege,1957,43,23.5,27.52,26.22,nan,70,nan
liege-bastogne-liege,1958,44,27.53,27.12,26.65,68,nan,nan
liege-bastogne-liege,1959,45,28.53,25.47,21.38,68,nan,nan
liege-bastogne-liege,1960,46,25.41,26.64,26.27,nan,nan,nan
liege-bastogne-liege,1961,47,27.42,28.12,30.33,73,nan,nan
liege-bastogne-liege,1962,48,28.02,23.37,33.19,nan,nan,nan
liege-bastogne-liege,1963,49,22.48,41.05,25.49,nan,72,nan
liege-bastogne-liege,1964,50,23.28,23.53,26.48,nan,nan,nan
liege-bastogne-liege,1965,51,21.83,27.48,24.16,nan,nan,nan
liege-bastogne-liege,1966,52,32.33,26.38,23.19,70,nan,nan
liege-bastogne-liege,1967,53,23.85,21.88,27.57,73,74,nan
liege-bastogne-liege,1968,54,21.05,24.84,32.06,nan,73,nan
liege-bastogne-liege,1969,55,23.86,29.36,29.23,74,nan,nan
liege-bastogne-liege,1970,56,22.66,28.86,24.85,74,nan,74
liege-bastogne-liege,1971,57,25.87,24.54,29.88,74,nan,nan
liege-bastogne-liege,1972,58,26.86,28.59,28.7,74,nan,nan
liege-bastogne-liege,1973,59,27.87,31.88,29.83,74,nan,73
liege-bastogne-liege,1974,60,27.53,26.05,28.9,nan,nan,nan
liege-bastogne-liege,1975,61,29.86,27.29,31.82,74,nan,73
liege-bastogne-liege,1976,62,27.55,24.19,34.87,nan,nan,nan
liege-bastogne-liege,1977,63,22.46,29.51,22.47,62,nan,nan
liege-bastogne-liege,1978,64,29.57,23.47,26.86,nan,nan,79
liege-bastogne-liege,1979,65,24.47,24.45,22.7,nan,62,nan
liege-bastogne-liege,1980,66,25.45,31.23,22.54,62,69,nan
liege-bastogne-liege,1981,67,32.76,24.56,27.71,nan,nan,nan
liege-bastogne-liege,1982,68,24.25,25.82,25.54,nan,nan,nan
liege-bastogne-liege,1983,69,22.71,25.58,21.75,nan,65,nan
liege-bastogne-liege,1984,70,27.91,26.11,22.82,77,nan,67
liege-bastogne-liege,1985,71,24.36,28.29,25.41,66,nan,74
liege-bastogne-liege,1986,72,25.36,26.86,26.89,66,70,nan
liege-bastogne-liege,1987,73,26.35,27.41,30.29,66,74,nan
liege-bastogne-liege,1988,74,28.85,27.3,29.61,70,75,nan
liege-bastogne-liege,1989,75,32.92,23.58,31.12,77,nan,nan
liege-bastogne-liege,1990,76,28.98,27.75,29.71,nan,nan,nan
liege-bastogne-liege,1991,77,30.36,34.3,26.02,66,nan,70
liege-bastogne-liege,1992,78,31.28,31.72,29.99,nan,nan,nan
liege-bastogne-liege,1993,79,28.01,32.08,28.27,70,65,70
liege-bastogne-liege,1994,80,23.89,22.59,28.13,64,72,nan
liege-bastogne-liege,1995,81,31.1,31.19,24.9,62,68,65
liege-bastogne-liege,1996,82,32.12,24.61,32.12,67,72,62
liege-bastogne-liege,1997,83,26.92,28.41,24.96,65,66,nan
liege-bastogne-liege,1998,84,27.92,29.4,32.61,65,66,nan
liege-bastogne-liege,1999,85,24.46,26.91,30.24,67,62,71
liege-bastogne-liege,2000,86,26.06,26.75,28.71,58,55,63
liege-bastogne-liege,2001,87,29.63,29.72,27.77,62,63,55
liege-bastogne-liege,2002,88,28.07,28.78,24.42,58,62,70
liege-bastogne-liege,2003,89,32.18,25.7,30.93,65,65,62
liege-bastogne-liege,2004,90,32.73,31.93,30.63,63,62,68
liege-bastogne-liege,2005,91,31.62,33.62,32.93,68,76,62
liege-bastogne-liege,2006,92,26.01,32.08,24.61,61,58,58
liege-bastogne-liege,2007,93,31.34,27.03,27.05,61,61,65
liege-bastogne-liege,2008,94,28.02,36.74,28.05,61,63,65
liege-bastogne-liege,2009,95,23.89,29.98,37.74,68,58,63
liege-bastogne-liege,2010,96,36.63,28.99,30.02,68,64,61
liege-bastogne-liege,2011,97,28.82,31.04,25.89,75,65,68
liege-bastogne-liege,2012,98,31.03,27.45,30.11,67,65,65
liege-bastogne-liege,2013,99,26.69,33.97,33.01,59,58,61
liege-bastogne-liege,2014,100,33.97,34.03,23.92,62,61,68
liege-bastogne-liege,2015,101,35.02,22.89,35.98,61,62,58
liege-bastogne-liege,2016,102,28.58,35.37,29.57,66,65,69
liege-bastogne-liege,2017,103,37.02,30.7,26.91,61,59,68
liege-bastogne-liege,2018,104,25.6,31.55,27.47,70,64,65
liege-bastogne-liege,2019,105,34.12,26.52,25.32,65,62,70
liege-bastogne-liege,2020,106,30.95,22.13,22.05,65,61,66
liege-bastogne-liege,2021,107,22.61,28.89,24.56,66,62,53
