race,edition,stage,date,avg_speed_of_winner,race_category,distance,point_scale,parcour_type,profile_score,vertical_meters,departure,arrival,race_ranking,won_how,winner,winner_age_when_won,is_tt
vuelta-a-espana,1935,1,1935-04-29 00:00:00, 30.99 km/h, ME - Men Elite,  185 km, GT.B.Stage,  ,  , , Madrid, Valladolid, 125,  ? - let us know!,DIGNEF Antoon,24.59,0
vuelta-a-espana,1935,2,1935-04-30 00:00:00, 28.76 km/h, ME - Men Elite,  251 km, GT.B.Stage,  ,  , , Valladolid, Santander, 125,  ? - let us know!,ESCURIET Antonio,26.0,0
vuelta-a-espana,1935,3,1935-05-01 00:00:00, 29.62 km/h, ME - Men Elite,  199 km, GT.B.Stage,  ,  , , Santander, Bilbao, 125,  ? - let us know!,DELOOR Gustaaf,21.87,0
vuelta-a-espana,1935,4,1935-05-02 00:00:00, 31.42 km/h, ME - Men Elite,  235 km, GT.B.Stage,  ,  , , Bilbao, San Sebastián, 125,  ? - let us know!,DIGNEF Antoon,24.59,0
vuelta-a-espana,1935,5,1935-05-03 00:00:00, 29.26 km/h, ME - Men Elite,  264 km, GT.B.Stage,  ,  , , San Sebastián, Zaragoza, 125,  ? - let us know!,CAÑARDO Mariano,29.26,0
vuelta-a-espana,1935,6,1935-05-05 00:00:00, 31.03 km/h, ME - Men Elite,  310 km, GT.B.Stage,  ,  , , Zaragoza, Barcelona, 125,  ? - let us know!,ADAM François,23.63,0
vuelta-a-espana,1935,7,1935-05-06 00:00:00, 31.66 km/h, ME - Men Elite,  188 km, GT.B.Stage,  ,  , , Barcelona, Tortosa, 125,  ? - let us know!,MONTES Antonio,23.93,0
vuelta-a-espana,1935,8,1935-05-07 00:00:00, 31.48 km/h, ME - Men Elite,  188 km, GT.B.Stage,  ,  , , Tortosa, Valencia, 125,  ? - let us know!,BULLA Max,29.63,0
vuelta-a-espana,1935,9,1935-05-09 00:00:00, 28.7 km/h, ME - Men Elite,  265 km, GT.B.Stage,  ,  , , Valencia, Murcia, 125,  ? - let us know!,CARDONA Salvador,34.34,0
vuelta-a-espana,1935,10,1935-05-10 00:00:00, 47.72 km/h, ME - Men Elite,  285 km, GT.B.Stage,  ,  , , Murcia, Granada, 125,  ? - let us know!,BULLA Max,29.64,0
vuelta-a-espana,1935,11,1935-05-11 00:00:00, 26.04 km/h, ME - Men Elite,  260 km, GT.B.Stage,  ,  , , Granada, Sevilla, 125,  ? - let us know!,DELOOR Gustaaf,21.89,0
vuelta-a-espana,1935,12,1935-05-13 00:00:00, 26.94 km/h, ME - Men Elite,  270 km, GT.B.Stage,  ,  , , Sevilla, Cáceres, 125,  ? - let us know!,ADAM François,23.65,0
vuelta-a-espana,1935,13,1935-05-14 00:00:00, 26.93 km/h, ME - Men Elite,  275 km, GT.B.Stage,  ,  , , Cáceres, Zamora, 125,  ? - let us know!,MOLINAR Edoardo,27.72,0
vuelta-a-espana,1935,14,1935-05-15 00:00:00, 26.68 km/h, ME - Men Elite,  250 km, GT.B.Stage,  ,  , , Zamora, Madrid, 125,  ? - let us know!,DELOOR Gustaaf,21.9,0
vuelta-a-espana,1936,1,1936-05-05 00:00:00, 30.94 km/h, ME - Men Elite,  210 km, GT.B.Stage,  ,  , , Madrid, Salamanca, 126,  ? - let us know!,HUTS Joseph,23.32,0
vuelta-a-espana,1936,2,1936-05-06 00:00:00, 31.03 km/h, ME - Men Elite,  214 km, GT.B.Stage,  ,  , , Salamanca, Cáceres, 126,  ? - let us know!,DELOOR Gustaaf,22.88,0
vuelta-a-espana,1936,3,1936-05-07 00:00:00, 28.38 km/h, ME - Men Elite,  270 km, GT.B.Stage,  ,  , , Cáceres, Sevilla, 126,  ? - let us know!,CARRETERO Vicente,21.07,0
vuelta-a-espana,1936,4,1936-05-08 00:00:00, 29.76 km/h, ME - Men Elite,  212 km, GT.B.Stage,  ,  , , Sevilla, Málaga, 126,  ? - let us know!,DELOOR Gustaaf,22.89,0
vuelta-a-espana,1936,5,1936-05-09 00:00:00, 31.22 km/h, ME - Men Elite,  132 km, GT.B.Stage,  ,  , , Málaga, Granada, 126,  ? - let us know!,CARRETERO Vicente,21.07,0
vuelta-a-espana,1936,6,1936-05-10 00:00:00, 28.56 km/h, ME - Men Elite,  185 km, GT.B.Stage,  ,  , , Granada, Almería, 126,  ? - let us know!,DELOOR Gustaaf,22.89,0
