race,year,edition,first_age,second_age,third_age,first_weight,second_weight,third_weight
amstel-gold-race,1966,1,33.96,24.83,27.13,nan,nan,83
amstel-gold-race,1967,2,25.99,28.08,21.98,nan,nan,73
amstel-gold-race,1968,3,23.42,21.84,23.33,73,78,nan
amstel-gold-race,1969,4,27.33,27.35,23.85,nan,nan,74
amstel-gold-race,1970,5,23.54,26.14,22.5,nan,nan,nan
amstel-gold-race,1971,6,29.81,29.22,24.35,nan,74,78
amstel-gold-race,1972,7,23.98,25.23,25.33,nan,nan,68
amstel-gold-race,1973,8,27.82,31.84,29.67,74,nan,nan
amstel-gold-race,1974,9,23.12,26.03,30.8,nan,nan,73
amstel-gold-race,1975,10,29.8,23.14,26.5,74,nan,nan
amstel-gold-race,1976,11,24.13,23.4,22.92,nan,72,nan
amstel-gold-race,1977,12,24.43,26.11,28.2,72,nan,69
amstel-gold-race,1978,13,25.39,26.78,31.33,72,79,68
amstel-gold-race,1979,14,26.45,25.71,27.6,72,nan,63
amstel-gold-race,1980,15,27.42,23.8,23.88,72,nan,77
amstel-gold-race,1981,16,26.4,33.63,24.79,62,74,nan
amstel-gold-race,1982,17,29.48,22.42,26.33,72,74,nan
amstel-gold-race,1983,18,25.13,25.4,30.47,nan,nan,72
amstel-gold-race,1984,19,23.37,26.21,25.64,nan,nan,nan
amstel-gold-race,1985,20,34.17,26.11,26.07,nan,nan,nan
amstel-gold-race,1986,21,25.73,39.42,27.15,nan,68,nan
amstel-gold-race,1987,22,40.42,26.73,25.83,68,nan,76
amstel-gold-race,1988,23,24.7,27.73,31.3,70,nan,nan
amstel-gold-race,1989,24,28.0,32.3,29.88,nan,nan,72
amstel-gold-race,1990,25,30.87,25.61,26.7,70,nan,70
amstel-gold-race,1991,26,26.26,26.3,30.3,nan,70,nan
amstel-gold-race,1992,27,32.05,26.55,26.2,nan,71,77
amstel-gold-race,1993,28,27.25,29.21,28.35,73,68,69
amstel-gold-race,1994,29,28.55,31.4,28.95,71,73,nan
amstel-gold-race,1995,30,31.12,34.33,23.97,62,nan,72
amstel-gold-race,1996,31,27.28,27.37,30.56,80,nan,71
amstel-gold-race,1997,32,33.08,30.99,25.98,71,73,72
amstel-gold-race,1998,33,32.25,29.26,27.93,73,71,65
amstel-gold-race,1999,34,26.92,27.62,28.77,62,72,nan
amstel-gold-race,2000,35,29.81,27.92,25.84,69,62,69
amstel-gold-race,2001,36,30.71,29.63,31.72,66,72,67
amstel-gold-race,2002,37,31.94,27.17,29.94,65,73,62
amstel-gold-race,2003,38,29.61,30.92,27.32,68,62,61
amstel-gold-race,2004,39,32.72,31.91,30.07,63,62,58
amstel-gold-race,2005,40,29.31,32.91,32.1,61,62,67
amstel-gold-race,2006,41,26.02,35.12,33.91,65,72,62
amstel-gold-race,2007,42,25.77,35.73,31.32,71,63,61
amstel-gold-race,2008,43,26.6,28.03,28.01,58,65,61
amstel-gold-race,2009,44,34.15,33.24,22.9,73,67,70
amstel-gold-race,2010,45,27.81,29.38,28.09,75,73,65
amstel-gold-race,2011,46,28.8,31.95,30.94,75,58,62
amstel-gold-race,2012,47,30.09,27.17,22.23,65,62,78
amstel-gold-race,2013,48,26.96,32.99,32.93,65,61,62
amstel-gold-race,2014,49,31.81,29.18,33.95,75,62,62
amstel-gold-race,2015,50,24.9,35.01,24.58,68,61,72
amstel-gold-race,2016,51,34.1,24.21,25.94,65,71,74
amstel-gold-race,2017,52,34.81,26.89,36.35,75,68,65
amstel-gold-race,2018,53,26.2,31.96,36.09,71,65,65
amstel-gold-race,2019,54,24.27,32.78,34.1,75,63,65
amstel-gold-race,2020,55
amstel-gold-race,2021,56,26.61,21.73,27.29,78,58,70
