race,year,edition,first_age,second_age,third_age,first_weight,second_weight,third_weight
la-fleche-wallone,1936,1,21.42,25.32,25.41,nan,nan,nan
la-fleche-wallone,1937,2,24.59,22.63,24.01,64,74,nan
la-fleche-wallone,1938,3,22.68,28.7,23.97,nan,70,nan
la-fleche-wallone,1939,4,23.08,20.59,26.14,nan,nan,nan
la-fleche-wallone,1941,5,25.6,22.76,21.4,nan,nan,nan
la-fleche-wallone,1942,6,24.22,34.84,22.42,nan,nan,nan
la-fleche-wallone,1943,7,28.69,23.39,22.96,74,nan,nan
la-fleche-wallone,1944,8,29.67,24.7,24.89,74,nan,nan
la-fleche-wallone,1945,9,30.72,30.81,27.13,74,nan,nan
la-fleche-wallone,1946,10,26.01,30.15,28.23,nan,nan,nan
la-fleche-wallone,1947,11,24.53,27.04,28.66,nan,nan,nan
la-fleche-wallone,1948,12,33.39,28.64,38.18,nan,nan,nan
la-fleche-wallone,1949,13,24.61,25.73,29.6,83,nan,72
la-fleche-wallone,1950,14,30.65,24.55,24.38,72,69,nan
la-fleche-wallone,1951,15,31.76,36.78,29.88,nan,nan,nan
la-fleche-wallone,1952,16,32.82,32.29,26.58,nan,61,69
la-fleche-wallone,1953,17,33.27,33.8,23.72,61,nan,nan
la-fleche-wallone,1954,18,24.53,34.81,24.67,70,nan,nan
la-fleche-wallone,1955,19,35.26,27.22,25.15,61,nan,nan
la-fleche-wallone,1956,20,25.8,22.53,25.15,nan,nan,nan
la-fleche-wallone,1957,21,31.56,26.43,25.73,69,nan,nan
la-fleche-wallone,1958,22,33.65,23.99,24.36,83,nan,nan
la-fleche-wallone,1959,23,26.42,27.34,25.47,nan,68,nan
la-fleche-wallone,1960,24,38.06,25.54,23.29,72,nan,nan
la-fleche-wallone,1961,25,26.28,27.99,23.88,nan,70,nan
la-fleche-wallone,1962,26,25.74,40.05,28.02,nan,72,nan
la-fleche-wallone,1963,27,27.07,22.98,29.5,nan,76,79
la-fleche-wallone,1964,28,33.27,23.98,30.5,nan,76,79
la-fleche-wallone,1965,29,24.05,22.6,27.43,nan,78,69
la-fleche-wallone,1966,30,23.99,25.02,29.13,nan,nan,nan
la-fleche-wallone,1967,31,21.88,33.48,26.27,74,79,nan
la-fleche-wallone,1968,32,34.36,21.96,27.94,73,nan,76
la-fleche-wallone,1969,33,27.36,24.09,22.78,nan,nan,nan
la-fleche-wallone,1970,34,24.85,23.53,25.09,74,nan,nan
la-fleche-wallone,1971,35,23.68,29.88,23.57,74,nan,nan
la-fleche-wallone,1972,36,26.87,36.05,28.14,74,nan,nan
la-fleche-wallone,1973,37,25.49,27.86,31.87,nan,74,nan
la-fleche-wallone,1974,38,32.85,26.65,27.75,nan,74,nan
la-fleche-wallone,1975,39,27.48,33.87,29.85,nan,nan,74
la-fleche-wallone,1976,40,29.39,34.86,24.19,68,nan,nan
la-fleche-wallone,1977,41,25.82,19.55,33.67,79,65,nan
la-fleche-wallone,1978,42,24.71,24.64,23.46,nan,72,nan
la-fleche-wallone,1979,43,24.42,21.56,25.99,62,65,71
la-fleche-wallone,1980,44,22.58,28.61,25.44,65,63,62
la-fleche-wallone,1981,45,24.68,21.85,25.21,nan,70,nan
la-fleche-wallone,1982,46,26.68,28.77,22.53,nan,nan,nan
la-fleche-wallone,1983,47,28.43,28.53,22.65,62,69,nan
la-fleche-wallone,1984,48,26.19,27.69,28.06,nan,nan,nan
la-fleche-wallone,1985,49,28.28,24.35,24.7,nan,66,nan
la-fleche-wallone,1986,50,25.69,23.75,29.28,nan,nan,nan
la-fleche-wallone,1987,51,24.75,30.28,24.56,nan,nan,nan
la-fleche-wallone,1988,52,25.55,27.34,27.7,nan,66,nan
la-fleche-wallone,1989,53,32.27,28.7,28.74,nan,nan,nan
la-fleche-wallone,1990,54,29.33,27.74,27.26,66,nan,nan
la-fleche-wallone,1991,55,30.35,34.28,28.15,66,nan,67
la-fleche-wallone,1992,56,26.12,26.79,31.31,nan,74,nan
la-fleche-wallone,1993,57,28.26,27.79,30.15,70,74,67
la-fleche-wallone,1994,58,33.36,28.13,23.9,66,nan,64
la-fleche-wallone,1995,59,26.38,30.26,24.87,66,70,64
la-fleche-wallone,1996,60,24.6,25.6,31.27,72,70,70
la-fleche-wallone,1997,61,28.39,30.72,28.8,66,nan,72
la-fleche-wallone,1998,62,27.91,23.45,34.12,58,67,nan
la-fleche-wallone,1999,63,28.9,30.23,24.3,65,71,68
la-fleche-wallone,2000,64,29.6,25.74,31.39,64,70,66
la-fleche-wallone,2001,65,26.76,23.41,24.75,70,70,69
la-fleche-wallone,2002,66,27.31,29.42,31.91,68,68,65
la-fleche-wallone,2003,67,27.08,29.64,31.68,61,nan,nan
la-fleche-wallone,2004,68,32.72,28.32,24.95,63,61,70
la-fleche-wallone,2005,69,29.32,26.82,33.72,61,68,63
la-fleche-wallone,2006,70,26.0,28.22,30.24,61,65,67
la-fleche-wallone,2007,71,35.73,27.02,31.33,63,61,61
la-fleche-wallone,2008,72,29.83,31.21,26.61,68,64,58
la-fleche-wallone,2009,73,37.73,23.88,27.61,63,68,58
la-fleche-wallone,2010,74,33.2,30.96,27.39,64,58,61
la-fleche-wallone,2011,75,28.81,31.96,33.22,75,58,65
la-fleche-wallone,2012,76,32.96,31.35,29.81,58,65,75
la-fleche-wallone,2013,77,31.64,25.37,23.53,59,61,60
la-fleche-wallone,2014,78,34.02,27.69,23.91,61,59,68
la-fleche-wallone,2015,79,35.01,22.88,34.36,61,62,65
la-fleche-wallone,2016,80,36.01,23.87,29.69,61,62,59
la-fleche-wallone,2017,81,37.01,30.68,25.15,61,59,64
la-fleche-wallone,2018,82,25.87,38.01,33.18,62,61,62
la-fleche-wallone,2019,83,26.88,34.11,29.79,62,65,63
la-fleche-wallone,2020,84,22.12,24.97,33.99,61,64,64
la-fleche-wallone,2021,85,28.88,31.5,41.02,62,65,61
