race,year,edition,first_age,second_age,third_age,first_weight,second_weight,third_weight
milano-sanremo,1907,1,24.5,22.56,21.91,nan,nan,nan
milano-sanremo,1908,2,24.32,24.36,25.87,nan,nan,nan
milano-sanremo,1909,3,25.36,27.38,25.21,nan,nan,nan
milano-sanremo,1910,4,25.21,21.96,20.35,nan,nan,nan
milano-sanremo,1911,5,26.53,29.78,27.35,nan,nan,nan
milano-sanremo,1912,6,23.2,27.53,25.38,nan,nan,nan
milano-sanremo,1913,7,24.72,23.75,23.44,nan,nan,nan
milano-sanremo,1914,8,20.7,31.63,27.47,nan,nan,nan
milano-sanremo,1915,9,25.44,21.28,27.33,nan,nan,nan
milano-sanremo,1917,10,24.65,24.09,29.38,nan,nan,nan
milano-sanremo,1918,11,25.09,25.65,24.73,nan,nan,nan
milano-sanremo,1919,12,31.36,26.07,30.12,nan,nan,nan
milano-sanremo,1920,13,27.59,31.19,27.04,nan,nan,nan
milano-sanremo,1921,14,28.06,25.51,30.04,nan,nan,nan
milano-sanremo,1922,15,26.5,29.04,32.52,nan,nan,nan
milano-sanremo,1923,16,30.04,30.59,32.02,nan,nan,nan
milano-sanremo,1924,17,27.43,31.57,31.01,nan,nan,nan
milano-sanremo,1925,18,32.05,29.5,28.47,nan,nan,nan
milano-sanremo,1926,19,33.03,32.55,23.23,nan,nan,nan
milano-sanremo,1927,20,24.37,24.66,24.24,nan,nan,nan
milano-sanremo,1928,21,35.04,25.64,32.49,nan,nan,nan
milano-sanremo,1929,22,26.62,23.09,23.86,nan,nan,nan
milano-sanremo,1930,23,26.51,24.89,27.23,nan,nan,nan
milano-sanremo,1931,24,28.63,28.45,28.21,nan,nan,nan
milano-sanremo,1932,25,22.89,29.63,28.48,nan,nan,nan
milano-sanremo,1933,26,30.47,23.9,21.4,nan,nan,nan
milano-sanremo,1934,27,26.68,24.65,26.06,nan,nan,nan
milano-sanremo,1935,28,23.34,32.45,25.83,nan,nan,nan
milano-sanremo,1936,29,25.46,25.41,19.64,nan,nan,nan
milano-sanremo,1937,30,21.88,22.89,24.1,nan,nan,nan
milano-sanremo,1938,31,26.34,23.9,28.89,nan,nan,nan
milano-sanremo,1939,32,24.68,23.65,26.53,nan,nan,nan
milano-sanremo,1940,33,25.69,28.39,24.65,nan,nan,nan
milano-sanremo,1941,34,26.9,26.62,25.75,nan,nan,nan
milano-sanremo,1942,35,25.19,23.42,27.9,nan,80,nan
milano-sanremo,1943,36,27.12,29.66,26.25,nan,nan,nan
milano-sanremo,1946,37,26.53,26.29,31.62,72,nan,nan
milano-sanremo,1947,38,32.69,33.88,27.11,nan,nan,nan
milano-sanremo,1948,39,28.53,22.15,33.3,72,nan,nan
milano-sanremo,1949,40,29.53,27.72,28.3,72,nan,nan
milano-sanremo,1950,41,35.69,26.67,30.68,nan,nan,nan
milano-sanremo,1951,42,26.04,24.48,21.6,74,nan,nan
milano-sanremo,1952,43,22.6,24.02,23.88,nan,nan,nan
milano-sanremo,1953,44,23.6,25.02,31.51,nan,nan,nan
milano-sanremo,1954,45,29.54,20.92,22.26,83,nan,nan
milano-sanremo,1955,46,25.39,30.51,25.08,70,nan,nan
milano-sanremo,1956,47,25.43,35.3,21.89,68,nan,nan
milano-sanremo,1957,48,29.02,26.43,26.39,nan,68,nan
milano-sanremo,1958,49,24.26,30.02,28.92,73,nan,nan
milano-sanremo,1959,50,31.02,34.55,26.08,nan,83,78
milano-sanremo,1960,51,29.31,26.83,26.08,nan,70,nan
milano-sanremo,1961,52,24.94,27.26,32.35,nan,73,nan
milano-sanremo,1962,53,23.97,28.08,26.97,64,nan,nan
milano-sanremo,1963,54,29.07,24.24,30.29,nan,nan,nan
milano-sanremo,1964,55,26.32,27.95,23.16,69,nan,nan
milano-sanremo,1965,56,23.92,27.36,25.2,nan,nan,67
milano-sanremo,1966,57,20.77,25.67,22.61,74,nan,nan
milano-sanremo,1967,58,21.76,24.03,26.56,74,nan,nan
milano-sanremo,1968,59,31.02,24.05,27.67,nan,nan,nan
milano-sanremo,1969,60,23.77,21.58,23.81,74,74,nan
milano-sanremo,1970,61,27.88,28.19,23.69,nan,74,nan
milano-sanremo,1971,62,25.77,28.49,30.34,74,78,75
milano-sanremo,1972,63,26.77,29.04,26.82,74,nan,nan
milano-sanremo,1973,64,25.59,24.38,30.49,74,nan,78
milano-sanremo,1974,65,31.49,27.69,26.58,78,nan,74
milano-sanremo,1975,66,29.77,23.76,26.58,74,79,nan
milano-sanremo,1976,67,30.78,30.81,20.82,74,nan,nan
milano-sanremo,1977,68,24.38,29.59,27.15,72,74,nan
milano-sanremo,1978,69,30.59,20.5,28.8,74,65,nan
milano-sanremo,1979,70,31.58,21.5,28.45,74,65,79
milano-sanremo,1980,71,29.31,22.5,27.38,67,65,72
milano-sanremo,1981,72,24.76,33.6,28.26,nan,74,nan
milano-sanremo,1982,73,27.52,22.96,21.27,nan,nan,66
milano-sanremo,1983,74,25.5,23.2,30.38,65,nan,72
milano-sanremo,1984,75,32.77,27.83,22.11,79,77,74
milano-sanremo,1985,76,36.14,23.0,25.49,69,nan,nan
milano-sanremo,1986,77,29.83,24.73,30.6,77,67,nan
milano-sanremo,1987,78,26.5,25.12,27.21,nan,74,nan
milano-sanremo,1988,79,27.62,23.19,27.63,nan,70,nan
milano-sanremo,1989,80,28.62,24.15,26.63,nan,nan,70
milano-sanremo,1990,81,26.1,27.48,23.63,68,nan,nan
milano-sanremo,1991,82,28.08,25.94,29.13,67,70,74
milano-sanremo,1992,83,35.85,31.28,26.45,77,66,71
milano-sanremo,1993,84,28.19,26.76,26.11,70,nan,75
milano-sanremo,1994,85,28.05,27.01,31.64,nan,77,70
milano-sanremo,1995,86,26.31,30.19,26.16,66,70,80
milano-sanremo,1996,87,23.88,25.99,28.7,nan,74,nan
milano-sanremo,1997,88,26.73,33.06,28.98,69,nan,nan
milano-sanremo,1998,89,27.72,26.89,29.5,69,nan,73
milano-sanremo,1999,90,36.18,28.72,33.29,75,69,68
milano-sanremo,2000,91,29.72,31.78,24.1,69,60,63
milano-sanremo,2001,92,30.73,34.03,28.08,69,77,72
milano-sanremo,2002,93,35.03,28.57,27.76,77,68,69
milano-sanremo,2003,94,28.99,30.03,26.19,58,67,66
milano-sanremo,2004,95,28.11,33.73,30.64,63,69,73
milano-sanremo,2005,96,31.23,31.22,27.18,70,73,83
milano-sanremo,2006,97,24.53,32.22,29.18,73,70,66
milano-sanremo,2007,98,31.12,26.67,26.45,63,73,82
milano-sanremo,2008,99,27.03,26.55,25.73,80,73,75
milano-sanremo,2009,100,23.85,25.08,31.19,70,74,83
milano-sanremo,2010,101,34.12,29.45,36.23,63,82,70
milano-sanremo,2011,102,24.38,30.02,28.72,70,80,75
milano-sanremo,2012,103,31.86,31.02,27.36,62,80,65
milano-sanremo,2013,104,26.51,23.15,32.02,75,78,80
milano-sanremo,2014,105,26.73,33.04,26.4,78,80,69
milano-sanremo,2015,106,26.22,27.73,24.5,82,78,72
milano-sanremo,2016,107,24.58,28.39,30.73,76,69,78
milano-sanremo,2017,108,26.81,27.16,24.78,68,78,62
milano-sanremo,2018,109,33.36,23.7,26.58,65,69,76
milano-sanremo,2019,110,26.8,28.53,28.82,62,72,68
milano-sanremo,2020,111,25.92,28.18,29.89,78,62,72
milano-sanremo,2021,112,28.94,26.71,26.53,78,69,78
